Customer ID,Age,Gender,Loyalty Member,Recency,Frequency,Monetary,Churn,Favorite Product Type,Product Diversity,Total Orders,Cancellation Rate,Average Rating,Add-on Frequency,Preferred Payment Method,Preferred Shipping Type
1000,53,Male,No,229,2,6279.42,1,Smartphone,2,2,50.0,2.5,1.0,Credit Card,Overnight
1002,41,Male,Yes,118,2,5020.6,0,Laptop,2,2,0.0,2.5,0.5,Cash,Express
1003,75,Male,Yes,198,1,41.5,1,Smartphone,1,1,0.0,5.0,1.0,Cash,Express
1004,41,Female,No,193,1,83.0,1,Smartphone,1,1,0.0,5.0,1.0,Credit Card,Standard
1005,25,Female,No,164,2,11779.11,0,Laptop,2,2,0.0,3.0,0.5,Debit Card,Overnight
1006,24,Male,Yes,163,3,12184.27,0,Laptop,3,3,33.33333333333333,2.6666666666666665,0.6666666666666666,Cash,Express
1007,35,Male,No,394,1,7120.71,1,Smartphone,1,1,100.0,2.0,1.0,Credit Card,Overnight
1008,66,Female,No,437,1,3379.32,1,Smartwatch,1,1,0.0,3.0,1.0,Cash,Express
1011,72,Male,No,151,1,7911.9,0,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Standard
1013,42,Female,No,262,1,5538.33,1,Smartphone,1,1,100.0,2.0,1.0,Paypal,Overnight
1014,73,Female,Yes,201,2,9816.119999999999,1,Smartphone,2,2,50.0,2.5,1.0,Cash,Standard
1015,22,Male,No,94,1,83.0,0,Smartphone,1,1,0.0,5.0,1.0,Paypal,Standard
1016,61,Male,Yes,151,1,103.75,0,Smartphone,1,1,0.0,5.0,0.0,Paypal,Overnight
1018,34,Male,No,135,1,124.5,0,Smartphone,1,1,0.0,5.0,1.0,Paypal,Express
1019,45,Male,Yes,137,3,1915.95,0,Smartphone,3,3,66.66666666666666,3.6666666666666665,0.6666666666666666,Cash,Express
1020,57,Female,No,369,1,3379.32,1,Smartwatch,1,1,100.0,3.0,1.0,Debit Card,Express
1021,71,Female,Yes,260,1,844.83,1,Smartwatch,1,1,0.0,3.0,1.0,Cash,Overnight
1022,76,Female,No,222,1,6758.64,1,Smartwatch,1,1,100.0,3.0,1.0,Paypal,Overnight
1024,49,Female,No,148,1,1582.38,0,Smartphone,1,1,0.0,2.0,1.0,Cash,Overnight
1025,77,Male,No,99,2,2866.76,0,Laptop,2,2,0.0,4.0,0.5,Cash,Express
1027,22,Male,No,373,1,4747.14,1,Smartphone,1,1,0.0,2.0,0.0,Paypal,Overnight
1028,79,Female,No,371,1,6758.64,1,Smartwatch,1,1,0.0,3.0,0.0,Debit Card,Overnight
1030,69,Male,No,282,1,4224.15,1,Smartwatch,1,1,0.0,3.0,1.0,Debit Card,Express
1031,20,Female,No,93,2,6017.56,0,Smartphone,2,2,0.0,4.0,0.5,Debit Card,Express
1033,54,Female,No,328,2,4152.88,1,Smartphone,2,2,0.0,2.5,0.5,Debit Card,Overnight
1035,32,Female,Yes,255,2,249.0,1,Smartphone,1,2,0.0,5.0,0.5,Cash,Standard
1036,60,Male,Yes,312,2,4747.139999999999,1,Smartphone,1,2,100.0,2.0,0.5,Debit Card,Express
1038,56,Female,No,73,4,14976.71,0,Smartphone,2,4,0.0,3.25,0.75,Debit Card,Overnight
1039,53,Female,No,96,1,1729.21,0,Tablet,1,1,0.0,3.0,0.0,Credit Card,Standard
1040,45,Female,Yes,416,1,6329.52,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Standard
1042,65,Female,No,142,2,6059.06,0,Smartphone,2,2,50.0,4.0,1.0,Cash,Overnight
1043,76,Male,No,275,1,207.5,1,Smartphone,1,1,0.0,5.0,0.0,Debit Card,Overnight
1047,73,Male,No,360,1,2470.3,1,Tablet,1,1,0.0,3.0,1.0,Debit Card,Express
1048,67,Female,No,404,1,2470.3,1,Tablet,1,1,100.0,3.0,0.0,Debit Card,Express
1049,50,Female,No,163,1,145.25,0,Smartphone,1,1,0.0,5.0,1.0,Paypal,Standard
1052,72,Male,No,124,1,5068.98,0,Smartwatch,1,1,100.0,3.0,1.0,Cash,Standard
1053,79,Female,No,351,1,4175.64,1,Laptop,1,1,0.0,3.0,1.0,Debit Card,Standard
1054,30,Female,Yes,211,1,62.25,1,Smartphone,1,1,0.0,5.0,1.0,Paypal,Standard
